reaction	reaction_type	label	raw_idx
[C:1]([BH3-:36])#[N:37].[NH:2]([CH2:3][CH:4]([c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)[CH:17]1[CH2:18][CH2:19][c:20]2[cH:21][c:22]([O:23][c:24]3[n:25][cH:26][c:27]([C:28](=[O:29])[NH2:30])[cH:31][cH:32]3)[cH:33][cH:34][c:35]21>CO.CC(=O)O.[Na+]>[BH4-:36].[CH3:1][N:2]([CH2:3][CH:4]([c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)[CH:17]1[CH2:18][CH2:19][c:20]2[cH:21][c:22]([O:23][c:24]3[n:25][cH:26][c:27]([C:28](=[O:29])[NH2:30])[cH:31][cH:32]3)[cH:33][cH:34][c:35]21.[NH3:37]	1	1.2.4	27253
[CH3:37][N:39]([CH3:38])[CH:40]=[O:41].[Cl:1][c:2]1[c:3]([CH2:4][O:5][c:6]2[cH:7][cH:8][cH:9][c:10]3[cH:11][cH:12][c:13]([CH3:14])[n:15][c:16]23)[c:17]([Cl:18])[cH:19][cH:20][c:21]1[NH:22][C:23]([CH2:24][N:25]1[C:26](=[O:27])[c:28]2[c:29]([cH:30][cH:31][cH:32][cH:33]2)[C:34]1=[O:35])=[O:36]>O.[H-].[Na+].CI>[CH3:38][NH:39][CH:40]=[O:41].[Cl:1][c:2]1[c:3]([CH2:4][O:5][c:6]2[cH:7][cH:8][cH:9][c:10]3[cH:11][cH:12][c:13]([CH3:14])[n:15][c:16]23)[c:17]([Cl:18])[cH:19][cH:20][c:21]1[N:22]([C:23]([CH2:24][N:25]1[C:26](=[O:27])[c:28]2[c:29]([cH:30][cH:31][cH:32][cH:33]2)[C:34]1=[O:35])=[O:36])[CH3:37]	1	1.2.4	13965
[Br:1][c:2]1[c:3]([NH:4][CH:5]([CH2:6][CH3:7])[CH2:8][CH3:9])[c:11]2[c:12]([n:13][c:14]1[CH3:15])[n:16](-[c:17]1[c:18]([CH3:19])[cH:20][c:21]([CH3:22])[cH:23][c:24]1[CH3:25])[n:26][n:27]2.[CH3:10][CH2:31][CH2:30][CH2:29][Li:28]>CCCCCC.C1CCOC1.CI>[Br:1][c:2]1[c:3]([N:4]([CH:5]([CH2:6][CH3:7])[CH2:8][CH3:9])[CH3:10])[c:11]2[c:12]([n:13][c:14]1[CH3:15])[n:16](-[c:17]1[c:18]([CH3:19])[cH:20][c:21]([CH3:22])[cH:23][c:24]1[CH3:25])[n:26][n:27]2.[Li:28][CH2:29][CH2:30][CH3:31]	1	1.2.4	38197
[C:1]([O:56][BH-:51]([O:50][C:48]([CH3:47])=[O:49])[O:52][C:53]([CH3:54])=[O:55])([CH3:57])=[O:58].[NH:2]1[CH2:3][CH2:4][N:5]([C:6]([C@H:7]2[N:8]([C:9]([C:10]3=[C:11]([CH:12]([CH3:13])[CH3:14])[N:15]4[C@H:16]([c:17]5[cH:18][c:19]([F:20])[c:21]([Cl:22])[cH:23][cH:24]5)[C@:25]([CH3:26])([c:27]5[cH:28][n:29][c:30]([Cl:31])[cH:32][cH:33]5)[N:34]=[C:35]4[S:36]3)=[O:37])[CH2:38][C@H:39]([F:40])[CH2:41]2)=[O:42])[CH2:43][C:44]12[CH2:45][CH2:46]2>C1COCCO1.[Na+].[Na+].O=C([O-])O>[CH3:1][N:2]1[CH2:3][CH2:4][N:5]([C:6]([C@H:7]2[N:8]([C:9]([C:10]3=[C:11]([CH:12]([CH3:13])[CH3:14])[N:15]4[C@H:16]([c:17]5[cH:18][c:19]([F:20])[c:21]([Cl:22])[cH:23][cH:24]5)[C@:25]([CH3:26])([c:27]5[cH:28][n:29][c:30]([Cl:31])[cH:32][cH:33]5)[N:34]=[C:35]4[S:36]3)=[O:37])[CH2:38][C@H:39]([F:40])[CH2:41]2)=[O:42])[CH2:43][C:44]12[CH2:45][CH2:46]2.[CH3:47][C:48](=[O:49])[O:50][BH-:51]([O:52][C:53]([CH3:54])=[O:55])[OH:56].[CH4:57].[OH2:58]	1	1.2.4	39960
[CH3:9][I:23].[Cl:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][cH:7]1)[NH:8][C:10](=[O:11])[N:12]1[C:13]2([c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[O:20][CH2:21][CH2:22]1>O.CN(C)C=O.[H-].[Na+].Cl>[Cl:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][cH:7]1)[N:8]([CH3:9])[C:10](=[O:11])[N:12]1[C:13]2([c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[O:20][CH2:21][CH2:22]1.[IH:23]	1	1.2.4	25672
[CH3:41][I:53].[CH:1]1([O:2][C:3](=[O:4])[N:5]2[CH2:6][CH2:7][N:8]([C:9]([C@H:10]([CH2:11][CH2:12][CH2:13][CH2:14][OH:15])[NH:16][C:17](=[O:18])[c:19]3[n:20][n:21](-[c:22]4[cH:23][cH:24][cH:25][cH:26][cH:27]4)[c:28]([O:29][CH2:30][C:31](=[O:32])[N:33]4[C@H:34]([C:35]([NH:36][CH:37]5[CH2:38][CH2:39][CH2:40]5)=[O:42])[CH2:43][CH2:44][CH2:45]4)[cH:46]3)=[O:47])[CH2:48][CH2:49]2)[CH2:50][CH2:51][CH2:52]1>C1CCOC1.[H-].[Na+]>[CH:1]1([O:2][C:3](=[O:4])[N:5]2[CH2:6][CH2:7][N:8]([C:9]([C@H:10]([CH2:11][CH2:12][CH2:13][CH2:14][OH:15])[NH:16][C:17](=[O:18])[c:19]3[n:20][n:21](-[c:22]4[cH:23][cH:24][cH:25][cH:26][cH:27]4)[c:28]([O:29][CH2:30][C:31](=[O:32])[N:33]4[C@H:34]([C:35]([N:36]([CH:37]5[CH2:38][CH2:39][CH2:40]5)[CH3:41])=[O:42])[CH2:43][CH2:44][CH2:45]4)[cH:46]3)=[O:47])[CH2:48][CH2:49]2)[CH2:50][CH2:51][CH2:52]1.[IH:53]	1	1.2.4	25350
[C:7]1(=[O:26])[CH2:8][CH2:9][N:10]([C:11]([O:12][C:13]([CH3:14])([CH3:15])[CH3:16])=[O:17])[CH2:18][CH2:19]1.[n:1]1(-[c:2]2[cH:3][cH:4][c:5]([NH2:6])[cH:20][cH:21]2)[n:22][n:23][n:24][cH:25]1>C1CCOC1.[Na+].[Na+].CC(=O)O.CC(=O)O[BH-](OC(C)=O)OC(C)=O.O=C([O-])O>[OH2:26].[n:1]1(-[c:2]2[cH:3][cH:4][c:5]([NH:6][CH:7]3[CH2:8][CH2:9][N:10]([C:11]([O:12][C:13]([CH3:14])([CH3:15])[CH3:16])=[O:17])[CH2:18][CH2:19]3)[cH:20][cH:21]2)[n:22][n:23][n:24][cH:25]1	2	1.2.5	1809
[C:7]1(=[O:28])[CH2:8][CH2:9][C:10]([CH2:11][c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)([N:18]([CH3:19])[CH3:20])[CH2:21][CH2:22]1.[s:1]1[c:2]2[c:3]([c:4]([CH2:5][NH2:6])[cH:23]1)[cH:24][cH:25][cH:26][cH:27]2>CC(=O)O.C1CCOC1.[Na+].CC(=O)O[BH-](OC(C)=O)OC(C)=O.ClCCCl>[OH2:28].[s:1]1[c:2]2[c:3]([c:4]([CH2:5][NH:6][CH:7]3[CH2:8][CH2:9][C:10]([CH2:11][c:12]4[cH:13][cH:14][cH:15][cH:16][cH:17]4)([N:18]([CH3:19])[CH3:20])[CH2:21][CH2:22]3)[cH:23]1)[cH:24][cH:25][cH:26][cH:27]2	2	1.2.5	45671
[C:9]1(=[O:22])[CH2:10][CH2:11][N:12]([C:13]([O:14][C:15]([CH3:16])([CH3:17])[CH3:18])=[O:19])[CH2:20][CH2:21]1.[NH2:1][c:2]1[n:3][cH:4][cH:5][cH:6][c:7]1[NH2:8]>CC(Cl)Cl.[Na+].CC(=O)O[BH-](OC(C)=O)OC(C)=O>[NH2:1][c:2]1[n:3][cH:4][cH:5][cH:6][c:7]1[NH:8][CH:9]1[CH2:10][CH2:11][N:12]([C:13]([O:14][C:15]([CH3:16])([CH3:17])[CH3:18])=[O:19])[CH2:20][CH2:21]1.[OH2:22]	2	1.2.5	46638
[CH3:1][CH:2]([CH3:3])[CH2:4][C:5]([CH2:6][CH2:7][CH3:8])=[O:12].[N:9]#[C:11][BH3-:10]>CO.[NH4+].[Na+].CC(=O)[O-]>[BH3-:10][CH3:11].[CH3:1][CH:2]([CH3:3])[CH2:4][CH:5]([CH2:6][CH2:7][CH3:8])[NH2:9].[OH2:12]	2	1.2.5	34498
[C:9]1(=[O:24])[CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH2:23]1.[NH2:1][CH2:2][c:3]1[cH:4][n:5][cH:6][cH:7][cH:8]1>>[NH:1]([CH2:2][c:3]1[cH:4][n:5][cH:6][cH:7][cH:8]1)[CH:9]1[CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH2:23]1.[OH2:24]	2	1.2.5	2356
[CH3:1][CH:2]([CH3:3])[CH2:4][C:5]([CH2:6][CH2:7][CH2:8][CH3:9])=[O:13].[N:10]#[C:12][BH3-:11]>CO.[NH4+].[Na+].CC(=O)[O-]>[BH3-:11][CH3:12].[CH3:1][CH:2]([CH3:3])[CH2:4][CH:5]([CH2:6][CH2:7][CH2:8][CH3:9])[NH2:10].[OH2:13]	2	1.2.5	42002
[C:8]1(=[O:23])[CH2:9][CH2:10][N:11]([C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18])[CH2:19][CH2:20]1.[CH3:1][S:2][c:3]1[cH:4][cH:5][c:6]([NH2:7])[cH:21][cH:22]1>>[CH3:1][S:2][c:3]1[cH:4][cH:5][c:6]([NH:7][CH:8]2[CH2:9][CH2:10][N:11]([C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18])[CH2:19][CH2:20]2)[cH:21][cH:22]1.[OH2:23]	2	1.2.5	33407
[CH2:6]([CH3:7])[C:8]([CH3:9])=[O:12].[CH3:1][c:2]1[nH:3][c:4]([NH2:5])[n:10][n:11]1>CC(=O)O.O.[Na+].[BH3-]C#N>[CH3:1][c:2]1[nH:3][c:4]([NH:5][CH:6]([CH3:7])[CH2:8][CH3:9])[n:10][n:11]1.[OH2:12]	2	1.2.5	21029
[NH:2]([CH3:3])[CH2:4][CH2:5][N:6]([CH3:7])[CH3:8].[c:1]1([Br:37])[cH:9][cH:10][c:11]([C@H:12]([CH3:13])[NH:14][c:15]2[n:16][cH:17][c:18]3[c:19]([n:20]2)[N:21]([CH:22]2[CH2:23][CH2:24][CH2:25][CH2:26]2)[CH2:27][C:28]([CH3:29])([CH3:30])[C:31](=[O:32])[N:33]3[CH3:34])[cH:35][cH:36]1>[NH4+].[OH-].O.CCOC(C)=O.CN(C)C=O.[Cu]I.[K+].[K+].[K+].CCN(CC)C(=O)c1ccccc1O.O=P([O-])([O-])[O-]>[BrH:37].[c:1]1([N:2]([CH3:3])[CH2:4][CH2:5][N:6]([CH3:7])[CH3:8])[cH:9][cH:10][c:11]([C@H:12]([CH3:13])[NH:14][c:15]2[n:16][cH:17][c:18]3[c:19]([n:20]2)[N:21]([CH:22]2[CH2:23][CH2:24][CH2:25][CH2:26]2)[CH2:27][C:28]([CH3:29])([CH3:30])[C:31](=[O:32])[N:33]3[CH3:34])[cH:35][cH:36]1	3	1.3.6	45436
[NH:1]1[CH2:14][CH:15]([O:16][c:17]2[n:18][cH:19][c:20]([C:21]([F:22])([F:23])[F:24])[cH:25][cH:26]2)[CH2:27]1.[c:2]1([Br:28])[cH:3][cH:4][c:5]([C@H:6]([CH3:7])[NH:8][C:9]([CH3:10])=[O:11])[cH:12][cH:13]1>>[BrH:28].[N:1]1([c:2]2[cH:3][cH:4][c:5]([C@H:6]([CH3:7])[NH:8][C:9]([CH3:10])=[O:11])[cH:12][cH:13]2)[CH2:14][CH:15]([O:16][c:17]2[n:18][cH:19][c:20]([C:21]([F:22])([F:23])[F:24])[cH:25][cH:26]2)[CH2:27]1	3	1.3.6	42501
[NH:2]1[C@H:3]([CH3:4])[CH2:5][O:6][C:7]1=[O:8].[c:1]1([Br:35])[cH:9][cH:10][c:11]([C:12](=[O:13])[N:14]2[CH2:15][CH2:16][N:17]([c:18]3[n:19][cH:20][c:21]([CH3:22])[cH:23][c:24]3[CH3:25])[CH2:26][CH2:27]2)[c:28]([NH:29][S:30](=[O:31])(=[O:32])[CH3:33])[cH:34]1>>[BrH:35].[c:1]1([N:2]2[C@H:3]([CH3:4])[CH2:5][O:6][C:7]2=[O:8])[cH:9][cH:10][c:11]([C:12](=[O:13])[N:14]2[CH2:15][CH2:16][N:17]([c:18]3[n:19][cH:20][c:21]([CH3:22])[cH:23][c:24]3[CH3:25])[CH2:26][CH2:27]2)[c:28]([NH:29][S:30](=[O:31])(=[O:32])[CH3:33])[cH:34]1	3	1.3.6	11588
[NH2:2][CH2:3][c:4]1[cH:5][n:6][cH:7][cH:8][cH:9]1.[c:1]1([Br:15])[cH:10][n:11][cH:12][cH:13][cH:14]1>>[BrH:15].[c:1]1([NH:2][CH2:3][c:4]2[cH:5][n:6][cH:7][cH:8][cH:9]2)[cH:10][n:11][cH:12][cH:13][cH:14]1	3	1.3.6	33696
[CH3:1][O:2][C:3](=[O:4])[c:5]1[c:6]2[c:7]([cH:8][cH:9][c:10]1[Cl:11])[NH:12][CH:13]([c:14]1[cH:15][c:16]([Br:30])[cH:23][cH:24][cH:25]1)[C:26]([CH3:27])([CH3:28])[CH2:29]2.[NH:17]1[CH2:18][CH2:19][O:20][CH2:21][CH2:22]1>CS(C)=O.[Cu]I.Cl.[K+].[K+].CN(C)CC(=O)O.O=C([O-])[O-]>[BrH:30].[CH3:1][O:2][C:3](=[O:4])[c:5]1[c:6]2[c:7]([cH:8][cH:9][c:10]1[Cl:11])[NH:12][CH:13]([c:14]1[cH:15][c:16]([N:17]3[CH2:18][CH2:19][O:20][CH2:21][CH2:22]3)[cH:23][cH:24][cH:25]1)[C:26]([CH3:27])([CH3:28])[CH2:29]2	3	1.3.6	29711
[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[O:8][C:9](=[O:10])[N:11]1[CH2:12][CH:13]([CH2:14][NH2:15])[CH2:22][CH2:23]1.[c:16]1([Br:24])[n:17][cH:18][cH:19][cH:20][n:21]1>CC(C)O.CCN(C(C)C)C(C)C>[BrH:24].[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[O:8][C:9](=[O:10])[N:11]1[CH2:12][CH:13]([CH2:14][NH:15][c:16]2[n:17][cH:18][cH:19][cH:20][n:21]2)[CH2:22][CH2:23]1	3	1.3.6	45611
[NH2:2][c:3]1[cH:4][c:5]([C:6](=[O:7])[O:8][CH2:9][CH3:10])[cH:11][cH:12][cH:13]1.[c:1]1([Br:25])[cH:14][n:15][c:16]([O:17][CH3:18])[c:19]2[c:20]1[CH2:21][CH2:22][CH2:23][CH2:24]2>Cc1ccccc1.[K+].CC(C)(C)[O-].CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C>[BrH:25].[c:1]1([NH:2][c:3]2[cH:4][c:5]([C:6](=[O:7])[O:8][CH2:9][CH3:10])[cH:11][cH:12][cH:13]2)[cH:14][n:15][c:16]([O:17][CH3:18])[c:19]2[c:20]1[CH2:21][CH2:22][CH2:23][CH2:24]2	3	1.3.6	41378
[N:1]1([c:2]2[c:3]([CH2:4][CH:5]3[C:6](=[O:7])[NH:8][CH2:20][CH2:21]3)[cH:22][cH:23][cH:24][cH:25]2)[CH2:26][CH2:27][NH:28][CH2:29][CH2:30]1.[c:9]1([Br:31])[cH:10][cH:11][c:12]([C:13]([CH3:14])([CH3:15])[O:16][CH3:17])[cH:18][cH:19]1>Cc1ccccc1.[Cu]I.[K+].[K+].CNCCNC.O=C([O-])[O-]>[BrH:31].[N:1]1([c:2]2[c:3]([CH2:4][CH:5]3[C:6](=[O:7])[N:8]([c:9]4[cH:10][cH:11][c:12]([C:13]([CH3:14])([CH3:15])[O:16][CH3:17])[cH:18][cH:19]4)[CH2:20][CH2:21]3)[cH:22][cH:23][cH:24][cH:25]2)[CH2:26][CH2:27][NH:28][CH2:29][CH2:30]1	3	1.3.6	9101
[NH2:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][cH:8]1)[CH2:9][CH2:10][N:11]([CH2:12][CH2:13][O:14][CH3:15])[CH2:16][CH2:17]2.[c:1]1([Cl:39])[n:18][cH:19][c:20]([Cl:21])[c:22]([NH:23][c:24]2[c:25]([F:26])[cH:27][c:28]([F:29])[cH:30][c:31]2[N:32]2[CH2:33][CH2:34][O:35][CH2:36][CH2:37]2)[n:38]1>>[ClH:39].[c:1]1([NH:2][c:3]2[cH:4][c:5]3[c:6]([cH:7][cH:8]2)[CH2:9][CH2:10][N:11]([CH2:12][CH2:13][O:14][CH3:15])[CH2:16][CH2:17]3)[n:18][cH:19][c:20]([Cl:21])[c:22]([NH:23][c:24]2[c:25]([F:26])[cH:27][c:28]([F:29])[cH:30][c:31]2[N:32]2[CH2:33][CH2:34][O:35][CH2:36][CH2:37]2)[n:38]1	4	1.3.7	10488
[F:1][c:2]1[c:3]([C:4]2=[N:5][CH:6]([CH2:7][NH2:8])[C:16](=[O:17])[NH:18][c:19]3[c:20]2[cH:21][cH:22][cH:23][cH:24]3)[cH:25][cH:26][cH:27][cH:28]1.[c:9]1([Cl:29])[n:10][c:11]([Cl:12])[cH:13][n:14][cH:15]1>O.[K+].[K+].CN(C)C=O.O=C([O-])[O-]>[ClH:29].[F:1][c:2]1[c:3]([C:4]2=[N:5][CH:6]([CH2:7][NH:8][c:9]3[n:10][c:11]([Cl:12])[cH:13][n:14][cH:15]3)[C:16](=[O:17])[NH:18][c:19]3[c:20]2[cH:21][cH:22][cH:23][cH:24]3)[cH:25][cH:26][cH:27][cH:28]1	4	1.3.7	8857
[NH:2]1[C@@H:3]2[CH2:4][N:5]([C:6](=[O:7])[O:8][C:9]([CH3:10])([CH3:11])[CH3:12])[C@H:13]([CH2:14]1)[CH2:15]2.[c:1]1([Cl:43])[n:16][cH:17][c:18]([C:19](=[O:20])[NH:21][CH2:22][c:23]2[cH:24][n:25](-[c:26]3[cH:27][cH:28][cH:29][cH:30][cH:31]3)[c:32]3[cH:33][c:34]([Cl:35])[cH:36][cH:37][c:38]3[c:39]2=[O:40])[cH:41][cH:42]1>CN1CCCC1=O.CC#N.CCN(C(C)C)C(C)C>[ClH:43].[c:1]1([N:2]2[CH:3]3[CH2:4][N:5]([C:6](=[O:7])[O:8][C:9]([CH3:10])([CH3:11])[CH3:12])[CH:13]([CH2:14]2)[CH2:15]3)[n:16][cH:17][c:18]([C:19](=[O:20])[NH:21][CH2:22][c:23]2[cH:24][n:25](-[c:26]3[cH:27][cH:28][cH:29][cH:30][cH:31]3)[c:32]3[cH:33][c:34]([Cl:35])[cH:36][cH:37][c:38]3[c:39]2=[O:40])[cH:41][cH:42]1	4	1.3.7	5469
[N:1]1([CH2:2][c:3]2[cH:4][c:5]([O:6][CH2:7][CH2:8][CH2:9][NH2:10])[cH:20][cH:21][cH:22]2)[CH2:23][CH2:24][CH2:25][CH2:26][CH2:27]1.[c:11]1([Cl:28])[s:12][c:13]2[c:14]([n:15]1)[cH:16][cH:17][cH:18][cH:19]2>ClCCl>[ClH:28].[N:1]1([CH2:2][c:3]2[cH:4][c:5]([O:6][CH2:7][CH2:8][CH2:9][NH:10][c:11]3[s:12][c:13]4[c:14]([n:15]3)[cH:16][cH:17][cH:18][cH:19]4)[cH:20][cH:21][cH:22]2)[CH2:23][CH2:24][CH2:25][CH2:26][CH2:27]1	4	1.3.7	15094
