reaction	reaction_type	raw_id	original_reaction_type
[Cl:1][c:2]1[cH:3][c:4]2[c:5]([C:6]([OH:7])=[O:17])[c:9]([CH3:10])[c:11](=[O:12])[nH:13][c:14]2[cH:15][cH:16]1.[Cl:8][S:19](=[O:18])[Cl:20]>>[Cl:1][c:2]1[cH:3][c:4]2[c:5]([C:6](=[O:7])[Cl:8])[c:9]([CH3:10])[c:11](=[O:12])[nH:13][c:14]2[cH:15][cH:16]1.[O:18]=[SH:19][Cl:20].[OH2:17]	2	83070	3
[Br:11][N:22]1[C:17](=[O:16])[CH2:18][CH2:19][C:20]1=[O:21].[O:1]1[CH2:2][CH2:3][CH:4]([NH:5][c:6]2[c:7]([OH:8])[cH:9][cH:10][cH:12][cH:13]2)[CH2:14][CH2:15]1>CN(C=O)C>[O:16]=[C:17]1[CH2:18][CH2:19][C:20](=[O:21])[NH:22]1.[O:1]1[CH2:2][CH2:3][CH:4]([NH:5][c:6]2[c:7]([OH:8])[cH:9][c:10]([Br:11])[cH:12][cH:13]2)[CH2:14][CH2:15]1	3	79284	4
[Br:10][N:19]1[C:14](=[O:13])[CH2:15][CH2:16][C:17]1=[O:18].[F:1][c:2]1[c:3]([N+:4](=[O:5])[O-:6])[c:7]([CH3:8])[cH:9][cH:11][cH:12]1>O.O=C(O)C(F)(F)F.O=S(=O)(O)O.O=C([O-])O.[Na+]>[F:1][c:2]1[c:3]([N+:4](=[O:5])[O-:6])[c:7]([CH3:8])[c:9]([Br:10])[cH:11][cH:12]1.[O:13]=[C:14]1[CH2:15][CH2:16][C:17](=[O:18])[NH:19]1	3	130578	4
[Br:4][N:20]1[C:15](=[O:14])[CH2:16][CH2:17][C:18]1=[O:19].[NH2:1][c:2]1[cH:3][c:5]2[c:6]([cH:7][cH:8]1)[C:9](=[O:10])[CH2:11][CH2:12][CH2:13]2>C(Cl)Cl>[NH2:1][c:2]1[c:3]([Br:4])[c:5]2[c:6]([cH:7][cH:8]1)[C:9](=[O:10])[CH2:11][CH2:12][CH2:13]2.[O:14]=[C:15]1[CH2:16][CH2:17][C:18](=[O:19])[NH:20]1	3	74137	4
[Br:13][N:20]1[C:15](=[O:14])[CH2:16][CH2:17][C:18]1=[O:19].[NH2:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][CH2:7][C:8](=[O:9])[NH2:10])[cH:11][cH:12]1>C(Cl)Cl.CC#N.[Cl-].[Na+].O>[NH2:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][CH2:7][C:8](=[O:9])[NH2:10])[cH:11][c:12]1[Br:13].[O:14]=[C:15]1[CH2:16][CH2:17][C:18](=[O:19])[NH:20]1	3	391035	4
[Br:1][N:23]1[C:18](=[O:17])[CH2:19][CH2:20][C:21]1=[O:22].[cH:2]1[cH:3][c:4]([CH3:5])[c:6]2[nH:7][c:8]3[c:9]([cH:10][c:11]([CH3:12])[cH:13][n:14]3)[c:15]2[cH:16]1>O1CCCC1.O=S([O-])[O-].[Na+].[Na+].CCOC(C)=O>[Br:1][c:2]1[cH:3][c:4]([CH3:5])[c:6]2[nH:7][c:8]3[c:9]([cH:10][c:11]([CH3:12])[cH:13][n:14]3)[c:15]2[cH:16]1.[O:17]=[C:18]1[CH2:19][CH2:20][C:21](=[O:22])[NH:23]1	3	260075	4
[Br:10][N:28]1[C:23](=[O:22])[CH2:24][CH2:25][C:26]1=[O:27].[c:1]1(-[c:2]2[c:3]3[cH:4][cH:5][cH:6][cH:7][c:8]3[cH:9][c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]23)[cH:17][cH:18][cH:19][cH:20][cH:21]1>C(Cl)(Cl)Cl.O.O=S(=O)([O-])[O-].[Mg+2]>[O:22]=[C:23]1[CH2:24][CH2:25][C:26](=[O:27])[NH:28]1.[c:1]1(-[c:2]2[c:3]3[cH:4][cH:5][cH:6][cH:7][c:8]3[c:9]([Br:10])[c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]23)[cH:17][cH:18][cH:19][cH:20][cH:21]1	3	199237	4
[Br:24][N:31]1[C:26](=[O:25])[CH2:27][CH2:28][C:29]1=[O:30].[NH2:1][c:2]1[c:3]([O:4][CH2:5][C:6]([F:7])([F:8])[F:9])[cH:10][c:11]([CH:12]([C:13](=[O:14])[O:15][CH2:16][CH3:17])[CH2:18][CH:19]2[CH2:20][CH2:21]2)[cH:22][cH:23]1>C(Cl)(Cl)Cl.O>[NH2:1][c:2]1[c:3]([O:4][CH2:5][C:6]([F:7])([F:8])[F:9])[cH:10][c:11]([CH:12]([C:13](=[O:14])[O:15][CH2:16][CH3:17])[CH2:18][CH:19]2[CH2:20][CH2:21]2)[cH:22][c:23]1[Br:24].[O:25]=[C:26]1[CH2:27][CH2:28][C:29](=[O:30])[NH:31]1	3	300960	4
[Br:1][N:24]1[C:19](=[O:18])[CH2:20][CH2:21][C:22]1=[O:23].[cH:2]1[c:3]([CH2:4][CH3:5])[cH:6][c:7]([O:8][CH2:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[cH:16][cH:17]1>C(#N)C>[Br:1][c:2]1[c:3]([CH2:4][CH3:5])[cH:6][c:7]([O:8][CH2:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[cH:16][cH:17]1.[O:18]=[C:19]1[CH2:20][CH2:21][C:22](=[O:23])[NH:24]1	3	333342	4
[C:1]([CH3:2])([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][N:11]([CH2:12][c:13]2[c:14]([Br:15])[cH:16][c:17]([C:18](=[O:19])[O:20][CH2:26][CH3:25])[cH:21][cH:22]2)[CH2:23][CH2:24]1>CC(C)(C)OC(=O)N1CCN(Cc2ccc(C(=O)O)cc2C(F)(F)F)CC1>[C:1]([CH3:2])([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][N:11]([CH2:12][c:13]2[c:14]([Br:15])[cH:16][c:17]([C:18](=[O:19])[OH:20])[cH:21][cH:22]2)[CH2:23][CH2:24]1.[CH3:25][CH3:26]	4	385907	5
[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[n:8]1[cH:9][n:10][c:11]2[c:12]1[cH:13][c:14]([C:15](=[O:16])[O:17][CH2:21][CH3:20])[cH:18][cH:19]2>C(O)C.[OH-].[Na+]>[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[n:8]1[cH:9][n:10][c:11]2[c:12]1[cH:13][c:14]([C:15](=[O:16])[OH:17])[cH:18][cH:19]2.[CH3:20][CH3:21]	4	71733	5
[F:1][C:2]([c:3]1[cH:4][c:5]([CH2:6][c:7]2[s:8][c:9]3[c:10]([cH:11]2)[c:12](-[c:13]2[cH:14][c:15]([C:16](=[O:17])[O:18][CH2:31][CH3:30])[cH:19][cH:20][cH:21]2)[cH:22][cH:23][cH:24]3)[cH:25][cH:26][cH:27]1)([F:28])[F:29]>O.C1COCC1.[OH-].[Na+].CO.Cl>[CH3:30][CH3:31].[F:1][C:2]([c:3]1[cH:4][c:5]([CH2:6][c:7]2[s:8][c:9]3[c:10]([cH:11]2)[c:12](-[c:13]2[cH:14][c:15]([C:16](=[O:17])[OH:18])[cH:19][cH:20][cH:21]2)[cH:22][cH:23][cH:24]3)[cH:25][cH:26][cH:27]1)([F:28])[F:29]	4	314322	5
[CH3:1][C:2]1([CH3:3])[c:4]2[cH:5][cH:6][c:7]([C:8]#[C:9][c:10]3[cH:11][cH:12][c:13]([C:14](=[O:15])[O:16][CH2:32][CH3:31])[cH:17][cH:18]3)[cH:19][c:20]2[C:21]([c:22]2[cH:23][cH:24][c:25]([Cl:26])[cH:27][cH:28]2)=[CH:29][CH2:30]1>CCO.C1COCC1.[OH-].[Na+].Cl>[CH3:1][C:2]1([CH3:3])[c:4]2[cH:5][cH:6][c:7]([C:8]#[C:9][c:10]3[cH:11][cH:12][c:13]([C:14](=[O:15])[OH:16])[cH:17][cH:18]3)[cH:19][c:20]2[C:21]([c:22]2[cH:23][cH:24][c:25]([Cl:26])[cH:27][cH:28]2)=[CH:29][CH2:30]1.[CH3:31][CH3:32]	4	27464	5
[Cl:1][c:2]1[c:3](-[c:4]2[n:5][o:6][c:7]([CH:8]([CH3:9])[CH3:10])[c:11]2[CH2:12][O:13][c:14]2[cH:15][cH:16][c:17]3[c:18]([cH:19][c:20](-[c:21]4[cH:22][cH:23][c:24]([C:25](=[O:26])[O:27][CH2:38][CH3:37])[cH:28][cH:29]4)[s:30]3)[cH:31]2)[c:32]([Cl:33])[cH:34][cH:35][cH:36]1>O1CCCC1.CO.[OH-].[Na+]>[CH3:37][CH3:38].[Cl:1][c:2]1[c:3](-[c:4]2[n:5][o:6][c:7]([CH:8]([CH3:9])[CH3:10])[c:11]2[CH2:12][O:13][c:14]2[cH:15][cH:16][c:17]3[c:18]([cH:19][c:20](-[c:21]4[cH:22][cH:23][c:24]([C:25](=[O:26])[OH:27])[cH:28][cH:29]4)[s:30]3)[cH:31]2)[c:32]([Cl:33])[cH:34][cH:35][cH:36]1	4	158449	5
[O:1]([C:2]([c:3]1[cH:4][cH:5][c:6]([NH:7][C:8](=[O:9])[c:10]2[c:11]([CH3:12])[n:13](-[c:14]3[c:15]([C:16]([F:17])([F:18])[F:19])[cH:20][cH:21][cH:22][cH:23]3)[c:24]([CH3:25])[cH:26]2)[cH:27][cH:28]1)=[O:29])[CH2:31][CH3:30]>CO.O.[OH-].[Li+].O.C1CCOC1>[CH3:30][CH3:31].[O:1]=[C:2]([c:3]1[cH:4][cH:5][c:6]([NH:7][C:8](=[O:9])[c:10]2[c:11]([CH3:12])[n:13](-[c:14]3[c:15]([C:16]([F:17])([F:18])[F:19])[cH:20][cH:21][cH:22][cH:23]3)[c:24]([CH3:25])[cH:26]2)[cH:27][cH:28]1)[OH:29]	4	29362	5
[O:1]([C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7](-[c:8]2[n+:9]([O-:10])[cH:11][cH:12][cH:13][cH:14]2)[cH:15][cH:16]1)[CH2:18][CH3:17]>O1CCOCC1.O=C(O)c1ccc(-c2ccccn2)cc1.[OH-].[Na+]>[CH3:17][CH3:18].[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][c:7](-[c:8]2[n+:9]([O-:10])[cH:11][cH:12][cH:13][cH:14]2)[cH:15][cH:16]1	4	154728	5
[CH3:1][O:2][c:3]1[cH:4][c:5]([CH2:6][CH2:7][O:8][c:9]2[n:10][cH:11][cH:12][c:13](-[c:14]3[cH:15][c:16]([C:17](=[O:18])[O:19][CH2:30][CH3:29])[cH:20][cH:21][cH:22]3)[n:23]2)[cH:24][cH:25][c:26]1[O:27][CH3:28]>C(O)C.[OH-].[Na+]>[CH3:1][O:2][c:3]1[cH:4][c:5]([CH2:6][CH2:7][O:8][c:9]2[n:10][cH:11][cH:12][c:13](-[c:14]3[cH:15][c:16]([C:17](=[O:18])[OH:19])[cH:20][cH:21][cH:22]3)[n:23]2)[cH:24][cH:25][c:26]1[O:27][CH3:28].[CH3:29][CH3:30]	4	29004	5
[O:1]([C:2]([CH2:3][N:4]([CH2:5][c:6]1[cH:7][c:8]([O:9][CH2:10][CH2:11][c:12]2[n:13][c:14](-[c:15]3[cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[cH:23][cH:24]3)[o:25][c:26]2[CH3:27])[cH:28][cH:29][cH:30]1)[S:31](=[O:32])(=[O:33])[N:34]([CH3:35])[CH2:36][CH:37]=[CH2:38])=[O:39])[CH2:41][CH3:40]>O.[OH-].[Li+]>[CH3:40][CH3:41].[O:1]=[C:2]([CH2:3][N:4]([CH2:5][c:6]1[cH:7][c:8]([O:9][CH2:10][CH2:11][c:12]2[n:13][c:14](-[c:15]3[cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[cH:23][cH:24]3)[o:25][c:26]2[CH3:27])[cH:28][cH:29][cH:30]1)[S:31](=[O:32])(=[O:33])[N:34]([CH3:35])[CH2:36][CH:37]=[CH2:38])[OH:39]	5	19508	7
[Cl:1][c:2]1[c:3]([O:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][C:11](=[O:12])[O:13][CH2:30][CH3:29])[cH:14][c:15]2[c:16]([c:17]1[Cl:18])[C:19](=[O:20])[C:21]([CH3:22])([CH:23]1[CH2:24][CH2:25][CH2:26][CH2:27]1)[CH2:28]2>O.CC(=O)O.Cl>[CH3:29][CH3:30].[Cl:1][c:2]1[c:3]([O:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][C:11](=[O:12])[OH:13])[cH:14][c:15]2[c:16]([c:17]1[Cl:18])[C:19](=[O:20])[C:21]([CH3:22])([CH:23]1[CH2:24][CH2:25][CH2:26][CH2:27]1)[CH2:28]2	5	36002	7
[O:1]=[c:2]1[n:3]([CH2:4][CH2:5][CH2:6][C:7](=[O:8])[O:9][CH2:20][CH3:19])[c:10]2[c:11]([c:12](=[O:13])[nH:14]1)[CH2:15][CH2:16][CH2:17][CH2:18]2>O.[OH-].[Li+].CCO.Cl>[CH3:19][CH3:20].[O:1]=[c:2]1[n:3]([CH2:4][CH2:5][CH2:6][C:7](=[O:8])[OH:9])[c:10]2[c:11]([c:12](=[O:13])[nH:14]1)[CH2:15][CH2:16][CH2:17][CH2:18]2	5	176256	7
[S:1]=[c:2]1[nH:3][c:4]([S:5][CH2:6][C:7](=[O:8])[O:9][CH2:13][CH3:12])[n:10][nH:11]1>[OH-].[Na+]>[CH3:12][CH3:13].[S:1]=[c:2]1[nH:3][c:4]([S:5][CH2:6][C:7](=[O:8])[OH:9])[n:10][nH:11]1	5	313527	7
[CH2:1]([CH2:2][CH2:3][CH3:4])[O:5][c:6]1[n:7][n:8]([CH2:9][c:10]2[cH:11][cH:12][c:13]([C:14]([F:15])([F:16])[F:17])[cH:18][cH:19]2)[c:20]([CH2:21][CH2:22][C:23](=[O:24])[O:25][CH2:28][CH3:27])[cH:26]1>C(O)C.[OH-].[Na+].C1CCOC1>[CH2:1]([CH2:2][CH2:3][CH3:4])[O:5][c:6]1[n:7][n:8]([CH2:9][c:10]2[cH:11][cH:12][c:13]([C:14]([F:15])([F:16])[F:17])[cH:18][cH:19]2)[c:20]([CH2:21][CH2:22][C:23](=[O:24])[OH:25])[cH:26]1.[CH3:27][CH3:28]	5	352430	7
[Cl:1][c:2]1[cH:3][c:4]([C:5](=[O:6])[NH:7][C:8]([C:9](=[O:10])[O:11][CH2:24][CH3:23])([CH3:12])[c:13]2[cH:14][cH:15][c:16]([CH3:17])[cH:18][cH:19]2)[cH:20][cH:21][cH:22]1>C(O)C.O.[OH-].[K+]>[CH3:23][CH3:24].[Cl:1][c:2]1[cH:3][c:4]([C:5](=[O:6])[NH:7][C:8]([C:9](=[O:10])[OH:11])([CH3:12])[c:13]2[cH:14][cH:15][c:16]([CH3:17])[cH:18][cH:19]2)[cH:20][cH:21][cH:22]1	5	39806	7
