reaction	activation energy	reaction enthalpy	raw id	rmg_family	reaction_type
[C:1]([C@@:2]([O:3][H:12])([C@@:4]([O:5][H:14])([C:6](=[O:7])[H:15])[H:13])[H:11])([H:8])([H:9])[H:10]>>[C:1](=[C:2]([C@@:4]([O:5][H:14])([C:6](=[O:7])[H:15])[H:13])[H:11])([H:9])[H:10].[O:3]([H:8])[H:12]	68.3378335793496	13.1833146263115	9723	1,3_Insertion_ROR	0
[C:1]([C@@:2]1([O:3][H:11])[C:4]([H:12])([H:13])[C@@:5]2([H:14])[O:6][C@@:7]12[H:15])([H:8])([H:9])[H:10]>>[C:1](=[C:2]1[C:4]([H:12])([H:13])[C@@:5]2([H:14])[O:6][C@@:7]12[H:15])([H:8])[H:9].[O:3]([H:10])[H:11]	69.8649284606139	16.0814552485675	10994	1,3_Insertion_ROR	0
[C:1]([C:2]([C:3]1([O:4][H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:4][H:12])([H:7])([H:8])[H:9].[C:2](=[C:3]1[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])([H:10])[H:11]	118.807857396295	33.3067554516393	1866	1,3_Insertion_ROR	0
[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C@@:4]([C:5]([H:15])([H:16])[H:17])([O:6][H:18])[H:14])[H:10])([H:7])([H:8])[H:9]>>[C:1](/[C:2](=[C:4](/[C:5]([H:15])([H:16])[H:17])[H:14])[H:10])([H:7])([H:8])[H:9].[C:3]([O:6][H:18])([H:11])([H:12])[H:13]	112.88967670395	23.3902437899785	2998	1,3_Insertion_ROR	0
[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C@:4]1([C:5]([O:6][H:16])([H:14])[H:15])[H:13])([H:7])([H:8])[H:9]>>[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C:4]1=[C:5]([H:14])[H:15])([H:7])([H:8])[H:9].[O:6]([H:13])[H:16]	74.95039297548209	16.7545595410613	1869	1,3_Insertion_ROR	0
[C:1]([C@@:2]([O:3][H:12])([C@@:4]([C:5]([H:14])([H:15])[H:16])([C:6]#[N:7])[H:13])[H:11])([H:8])([H:9])[H:10]>>[C:1](/[C:2](=[C:4](\[C:6]#[N:7])[H:13])[H:11])([H:8])([H:9])[H:10].[O:3]([C:5]([H:14])([H:15])[H:16])[H:12]	98.1214948763341	21.9075152952744	11239	1,3_Insertion_ROR	0
[C:1]([C:2]([O:3][C:4]([C:5]([H:13])([H:14])[H:15])([C:6]([H:16])([H:17])[H:18])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:3][H:17])([H:10])[H:11])([H:7])([H:8])[H:9].[C:4]([C:5]([H:13])([H:14])[H:15])(=[C:6]([H:16])[H:18])[H:12]	65.0822776120201	15.1535193955516	4104	1,3_Insertion_ROR	0
[C:1]([C@@:2]([O:3][H:12])([C@@:4]([C:5]([H:14])([H:15])[H:16])([C:6]#[N:7])[H:13])[H:11])([H:8])([H:9])[H:10]>>[C:1](/[C:2](=[C:4](\[C:5]([H:14])([H:15])[H:16])[C:6]#[N:7])[H:11])([H:8])([H:9])[H:10].[O:3]([H:12])[H:13]	60.3445656063816	7.619800141089718	11248	1,3_Insertion_ROR	0
[C:1]([C@@:2]1([H:11])[C@:3]([O:4][H:13])([H:12])[C:5]([H:14])([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10]>>[C:1]([O:7][H:17])([H:8])([H:9])[H:10].[C:2]1([H:11])=[C:6]([H:16])[C:5]([H:14])([H:15])[C@@:3]1([O:4][H:13])[H:12]	111.714465535079	27.777312996033203	10321	1,3_Insertion_ROR	0
[C:1]([C:2]([O:3][C:4](=[O:5])[N:6]([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:3][H:13])([H:10])[H:11])([H:7])([H:8])[H:9].[C:4](=[O:5])=[N:6][H:12]	53.2794605392379	20.1793402919454	809	1,3_Insertion_ROR	0
[C:1]([C:2]([C@@:3]([O:4][H:14])([C@@:5]([C:6]([H:16])([H:17])[H:18])([O:7][H:19])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2](/[C:3](=[C:5](\[O:7][H:19])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[O:4]([C:6]([H:16])([H:17])[H:18])[H:14]	117.52752693205	22.3458913225479	8073	1,3_Insertion_ROR	0
[C:1]([C:2]([N:3]([C:4](=[O:5])[O:6][C:7]([H:14])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]([N:3]=[C:4]=[O:5])([H:11])[H:12])([H:8])([H:9])[H:10].[O:6]([C:7]([H:14])([H:15])[H:16])[H:13]	53.563134272389405	20.9666153704917	10043	1,3_Insertion_ROR	0
[C:1]([C@@:2]([O:3][H:11])([C:4]([C:5]#[C:6][H:14])([H:12])[H:13])[H:10])([H:7])([H:8])[H:9]>>[C:1](=[C:2]([C:4]([C:5]#[C:6][H:14])([H:12])[H:13])[H:10])([H:7])[H:9].[O:3]([H:8])[H:11]	68.4324521962846	13.9344457411497	3616	1,3_Insertion_ROR	0
[C:1]([C:2]([C:3]([C:4]([O:5][H:15])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([C:2]([C:3](=[C:4]([H:13])[H:14])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8].[O:5]([H:11])[H:15]	67.66460792544059	8.42550887813206	2233	1,3_Insertion_ROR	0
[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([O:3][H:14])([H:10])[H:11])([H:7])([H:8])[H:9].[C:4](=[O:5])=[C:6]([H:12])[H:13]	73.3887359229427	35.8660916210646	1177	1,3_Insertion_ROR	0
[O:1]([C:2]1([H:7])[C:3]([H:8])([H:9])[O:4][C:5]1([H:10])[H:11])[H:6]>>[C:2]1([H:7])=[C:5]([H:10])[O:4][C:3]1([H:8])[H:9].[O:1]([H:6])[H:11]	76.6849722109026	13.0198253261913	4890	1,3_Insertion_ROR	0
[C:1]([C@@:2]([C:3]([O:4][H:13])([H:11])[H:12])([C:5](=[O:6])[H:14])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:3]([H:11])[H:12])[C:5](=[O:6])[H:14])([H:7])([H:8])[H:9].[O:4]([H:10])[H:13]	57.48477358936479	4.17882939595021	4863	1,3_Insertion_ROR	0
[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6]([O:7][H:19])([H:17])[H:18])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5](=[C:6]([H:17])[H:18])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[O:7]([H:16])[H:19]	67.7218618210703	8.66137726280097	6365	1,3_Insertion_ROR	0
[C:1]([C:2]([O:3][C:4](=[O:5])[N:6]([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1](=[C:2]([H:10])[H:11])([H:7])[H:9].[O:3]=[C:4]([O:5][H:8])[N:6]([H:12])[H:13]	46.5457291435557	13.042026928184	810	1,3_Insertion_ROR	0
[C:1]([C:2]([C:3]([O:4][C:5](=[O:6])[N:7]([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2](=[C:3]([H:13])[H:14])[H:12])([H:8])([H:9])[H:10].[O:4]=[C:5]([O:6][H:11])[N:7]([H:15])[H:16]	47.1005705911055	8.855580697692302	8625	1,3_Insertion_ROR	0
[C:1]([C:2](=[O:3])[C:4]([C:5]([H:11])([H:12])[H:13])([C:6]([H:14])([H:15])[H:16])[O:7][H:17])([H:8])([H:9])[H:10]>>[C:1]([C:2](=[O:3])[C:4](=[C:5]([H:12])[H:13])[C:6]([H:14])([H:15])[H:16])([H:8])([H:9])[H:10].[O:7]([H:11])[H:17]	67.2876930479392	11.099613641306	11262	1,3_Insertion_ROR	0
[C:1]([O:2][C:3](=[O:4])[N:5]([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][H:9])([H:6])([H:7])[H:8].[C:3](=[O:4])=[N:5][H:10]	53.6260811550778	20.727060571862896	2595	1,3_Insertion_ROR	0
[C:1]([C:2]([C:3]([O:4][C:5]([C:6]([C:7]([H:19])([H:20])[H:21])([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2](=[C:3]([H:13])[H:14])[H:11])([H:8])([H:9])[H:10].[O:4]([C:5]([C:6]([C:7]([H:19])([H:20])[H:21])([H:17])[H:18])([H:15])[H:16])[H:12]	68.6367247580383	12.4276864132516	10311	1,3_Insertion_ROR	0
[O:1]([C:2]([C@@:3]([O:4][H:11])([C:5]#[N:6])[H:10])([H:8])[H:9])[H:7]>>[C:2](=[C:3]([O:4][H:11])[C:5]#[N:6])([H:8])[H:9].[O:1]([H:7])[H:10]	64.10710753404379	-0.1051832212999469	4180	1,3_Insertion_ROR	0
[N:1]([C@@:2]([C:3]([O:4][H:12])([H:10])[H:11])([C:5]#[N:6])[H:9])([H:7])[H:8]>>[N:1]([C:2](=[C:3]([H:10])[H:11])[C:5]#[N:6])([H:7])[H:8].[O:4]([H:9])[H:12]	63.05157978182589	2.8673590201904	5840	1,3_Insertion_ROR	0
[O:1]([C@@:2]1([H:9])[C:3]([H:10])([H:11])[C@:4]2([C:5]([H:12])([H:13])[O:6]2)[C:7]1([H:14])[H:15])[H:8]>>[C:2]1([H:9])=[C:7]([H:15])[C@:4]2([C:3]1([H:10])[H:11])[C:5]([H:12])([H:13])[O:6]2.[O:1]([H:8])[H:14]	68.87942823584311	14.3889270467957	11493	1,3_Insertion_ROR	0
[C:1]([C@@:2]([O:3][H:12])([C@@:4]([C:5]([H:14])([H:15])[H:16])([C:6]#[N:7])[H:13])[H:11])([H:8])([H:9])[H:10]>>[C:1](=[C:2]([C@@:4]([C:5]([H:14])([H:15])[H:16])([C:6]#[N:7])[H:13])[H:11])([H:8])[H:9].[O:3]([H:10])[H:12]	68.6754956328974	13.687718066612304	11233	1,3_Insertion_ROR	0
[C:1]([C:2]([C@@:3]1([H:13])[C:4]([H:14])([H:15])[C@:5]1([C:6]([O:7][H:19])([H:17])[H:18])[H:16])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C@@:3]1([H:13])[C:4]([H:14])([H:15])[C:5]1=[C:6]([H:17])[H:18])([H:11])[H:12])([H:8])([H:9])[H:10].[O:7]([H:16])[H:19]	74.7281564561429	16.1831321465543	10057	1,3_Insertion_ROR	0
[C:1]([C@@:2]([C:3]([O:4][H:14])([H:12])[H:13])([N:5]([C:6](=[O:7])[H:16])[H:15])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C:2](=[C:3]([H:12])[H:13])[N:5]([C+:6]([O-:7])[H:16])[H:15])([H:8])([H:9])[H:10].[O:4]([H:11])[H:14]	66.0590858187177	5.6180164324781705	6469	1,3_Insertion_ROR	0
[C:1]([C@@:2]([C:3]([O:4][H:13])([H:11])[H:12])([C:5]#[N:6])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:3]([H:11])[H:12])[C:5]#[N:6])([H:7])([H:8])[H:9].[O:4]([H:10])[H:13]	61.7923976963956	7.34774068541079	2863	1,3_Insertion_ROR	0
[C:1]([C:2]([C@@:3]([O:4][H:13])([C:5]([O:6][H:16])([H:14])[H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1](/[C:2](=[C:3](/[C:5]([O:6][H:16])([H:14])[H:15])[H:12])[H:11])([H:7])([H:8])[H:9].[O:4]([H:10])[H:13]	69.1226965122037	9.96133401754844	1281	1,3_Insertion_ROR	0
[C:1]([N:2]([C@@:3]([C:4]([O:5][H:15])([H:13])[H:14])([C:6]#[N:7])[H:12])[H:11])([H:8])([H:9])[H:10]>>[C:1]([N:2]([C:3](=[C:4]([H:13])[H:14])[C:6]#[N:7])[H:11])([H:8])([H:9])[H:10].[O:5]([H:12])[H:15]	63.4924157313299	3.74571307973951	6542	1,3_Insertion_ROR	0
[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([C:5]([O:6][H:15])([H:13])[H:14])[H:12])([H:7])([H:8])[H:9]>>[C:1]([N:2]1[C:3]([H:10])([H:11])[C:4]1=[C:5]([H:13])[H:14])([H:7])([H:8])[H:9].[O:6]([H:12])[H:15]	79.3038729034787	15.8354156214678	1997	1,3_Insertion_ROR	0
[C:1]([C@@:2]1([O:3][H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C:6]1=[O:7])([H:8])([H:9])[H:10]>>[C:1](=[C:2]1[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C:6]1=[O:7])([H:9])[H:10].[O:3]([H:8])[H:11]	68.3482865388201	12.2900375824016	6672	1,3_Insertion_ROR	0
[C:1]([O:2][C:3]1([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])([H:7])([H:8])[H:9]>>[C:1]([O:2][H:15])([H:7])([H:8])[H:9].[C:3]1([H:10])=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]1([H:11])[H:12]	71.38059967881621	19.5518204841057	6206	1,3_Insertion_ROR	0
[C:1]([C@@:2]([O:3][H:12])([C@@:4]1([H:13])[C:5]([H:14])([H:15])[C:6]([H:16])([H:17])[O:7]1)[H:11])([H:8])([H:9])[H:10]>>[C:1](/[C:2](=[C:4]1\[C:5]([H:14])([H:15])[C:6]([H:16])([H:17])[O:7]1)[H:11])([H:8])([H:9])[H:10].[O:3]([H:12])[H:13]	73.501292066188	5.81743437307888	7060	1,3_Insertion_ROR	0
