reaction	reaction energy	raw id
[C:1]([C:2]([O:3][c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([O:9][H:19])[c:10]1[H:20])([H:14])[H:15])([H:11])([H:12])[H:13]>>[C:2]([O:3][c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([O:9][H:19])[c:10]1[H:20])([H:14])[H:15].[C:1]([H:11])([H:12])[H:13]	89.04729215	10
[N:1]([C:2]([C:3]([c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([H:19])[c:9]1[H:20])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11]>>[H:10].[N:1]([C:2]([C:3]([c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([H:19])[c:9]1[H:20])([H:14])[H:15])([H:12])[H:13])[H:11]	98.34383799	115
[C:1]([C@:2]1([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]([H:16])([H:17])[C:6]([H:18])([H:19])[O:7]1)([H:8])([H:9])[H:10]>>[H:18].[C:1]([C@:2]1([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]([H:16])([H:17])[C:6]([H:19])[O:7]1)([H:8])([H:9])[H:10]	94.57188139	66
[N:1]([N:2]([C:3]([C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])([H:16])[H:17])([H:14])[H:15])[H:13])([H:11])[H:12]>>[N:1]([N:2]([C:3]([C:4]([H:16])[H:17])([H:14])[H:15])[H:13])([H:11])[H:12].[c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22]	100.9097223	83
[C:1]([C@:2]([N:3]([H:15])[H:16])([C:4]([c:5]1[c:6]([H:19])[c:7]([H:20])[c:8]([H:21])[c:9]([H:22])[c:10]1[H:23])([H:17])[H:18])[H:14])([H:11])([H:12])[H:13]>>[H:20].[C:1]([C@:2]([N:3]([H:15])[H:16])([C:4]([c:5]1[c:6]([H:19])[c:7][c:8]([H:21])[c:9]([H:22])[c:10]1[H:23])([H:17])[H:18])[H:14])([H:11])([H:12])[H:13]	110.8387972	110
[O:1]=[C:2]([C:3]([C:4]([C:5]([C:6](=[O:7])[O:8][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9]>>[C:5]([C:6](=[O:7])[O:8][H:16])([H:14])[H:15].[O:1]=[C:2]([C:3]([C:4]([H:12])[H:13])([H:10])[H:11])[H:9]	85.73467214	49
[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]([H:12])([H:13])[H:14])[O:5][H:15])([H:6])([H:7])[H:8]>>[H:15].[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]([H:12])([H:13])[H:14])[O:5])([H:6])([H:7])[H:8]	104.3679244	24
[C:1]([C@:2]([N:3]([H:15])[H:16])([C:4]([C:5]1=[C:6]([H:19])[C:7]([H:20])([H:21])[C:8]([H:22])([H:23])[C:9]([H:24])=[C:10]1[H:25])([H:17])[H:18])[H:14])([H:11])([H:12])[H:13]>>[H:20].[C:1]([C@:2]([N:3]([H:15])[H:16])([C:4]([C:5]1=[C:6]([H:19])[C:7]([H:21])[C:8]([H:22])([H:23])[C:9]([H:24])=[C:10]1[H:25])([H:17])[H:18])[H:14])([H:11])([H:12])[H:13]	75.0783143	126
[N:1]([N:2]([C:3]([C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])([H:16])[H:17])([H:14])[H:15])[H:13])([H:11])[H:12]>>[H:20].[N:1]([N:2]([C:3]([C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8][c:9]([H:21])[c:10]1[H:22])([H:16])[H:17])([H:14])[H:15])[H:13])([H:11])[H:12]	111.3194691	90
[O:1]=[C:2]([C:3]([C:4]([C:5]([C:6](=[O:7])[O:8][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9]>>[C:6](=[O:7])[O:8][H:16].[O:1]=[C:2]([C:3]([C:4]([C:5]([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9]	95.40521334	50
[N:1]([N:2]([C:3]([C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])([H:16])[H:17])([H:14])[H:15])[H:13])([H:11])[H:12]>>[H:16].[N:1]([N:2]([C:3]([C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])[H:17])([H:14])[H:15])[H:13])([H:11])[H:12]	91.38162563	87
[N:1]([N:2]([C:3]([C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])([H:16])[H:17])([H:14])[H:15])[H:13])([H:11])[H:12]>>[H:19].[N:1]([N:2]([C:3]([C:4]([c:5]1[c:6]([H:18])[c:7][c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])([H:16])[H:17])([H:14])[H:15])[H:13])([H:11])[H:12]	110.9354336	89
[N:1]([C:2]([C:3]([C:4]([C:5](=[O:6])[O:7][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:8])[H:9]>>[N:1]([C:2]([C:3]([C:4]([C:5]=[O:6])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:8])[H:9].[O:7][H:16]	111.4085754	4
[O:1]=[C:2]([O:3][H:10])[C@:4]1([H:11])[C:5]([H:12])([H:13])[C@@:6]([O:7][H:15])([H:14])[C:8]([H:16])([H:17])[N:9]1[H:18]>>[H:15].[O:1]=[C:2]([O:3][H:10])[C@:4]1([H:11])[C:5]([H:12])([H:13])[C@@:6]([O:7])([H:14])[C:8]([H:16])([H:17])[N:9]1[H:18]	104.1401386	93
[N:1]([C:2]([C:3]([c:4]1[c:5]([H:15])[n:6][c:7]([H:16])[n:8]1[H:17])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10]>>[N:1]([C:2]([C:3]([H:13])[H:14])([H:11])[H:12])([H:9])[H:10].[c:4]1[c:5]([H:15])[n:6][c:7]([H:16])[n:8]1[H:17]	114.2317384	98
[O:1]=[C:2]([C:3]([C:4]([C:5]([C:6](=[O:7])[O:8][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9]>>[H:12].[O:1]=[C:2]([C:3]([C:4]([C:5]([C:6](=[O:7])[O:8][H:16])([H:14])[H:15])[H:13])([H:10])[H:11])[H:9]	98.50636282	54
[N:1]([C:2]([C:3]([c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([H:19])[c:9]1[H:20])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11]>>[H:14].[N:1]([C:2]([C:3]([c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([H:19])[c:9]1[H:20])[H:15])([H:12])[H:13])([H:10])[H:11]	88.22149031	117
[N:1]([C:2]([C:3]([C:4]([C:5](=[O:6])[O:7][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:8])[H:9]>>[C:2]([C:3]([C:4]([C:5](=[O:6])[O:7][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11].[N:1]([H:8])[H:9]	87.59900138	0
[C:1]([C@:2]([N:3]([H:15])[H:16])([C:4]([C:5]1=[C:6]([H:19])[C:7]([H:20])([H:21])[C:8]([H:22])([H:23])[C:9]([H:24])=[C:10]1[H:25])([H:17])[H:18])[H:14])([H:11])([H:12])[H:13]>>[C:5]1=[C:6]([H:19])[C:7]([H:20])([H:21])[C:8]([H:22])([H:23])[C:9]([H:24])=[C:10]1[H:25].[C:1]([C@:2]([N:3]([H:15])[H:16])([C:4]([H:17])[H:18])[H:14])([H:11])([H:12])[H:13]	101.8070602	121
[C:1]([C@:2]([N:3]([H:15])[H:16])([C:4]([C:5]1=[C:6]([H:19])[C:7]([H:20])([H:21])[C:8]([H:22])([H:23])[C:9]([H:24])=[C:10]1[H:25])([H:17])[H:18])[H:14])([H:11])([H:12])[H:13]>>[H:11].[C:1]([C@:2]([N:3]([H:15])[H:16])([C:4]([C:5]1=[C:6]([H:19])[C:7]([H:20])([H:21])[C:8]([H:22])([H:23])[C:9]([H:24])=[C:10]1[H:25])([H:17])[H:18])[H:14])([H:12])[H:13]	100.7917506	122
[N:1]([N:2]([C:3]([C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])([H:16])[H:17])([H:14])[H:15])[H:13])([H:11])[H:12]>>[H:11].[N:1]([N:2]([C:3]([C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])([H:16])[H:17])([H:14])[H:15])[H:13])[H:12]	79.78965188	84
[N:1]([C:2]([C:3]([C:4]([C:5](=[O:6])[O:7][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:8])[H:9]>>[H:8].[N:1]([C:2]([C:3]([C:4]([C:5](=[O:6])[O:7][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9]	99.73251541	5
[N:1]([C:2]([C:3]([c:4]1[c:5]([H:15])[n:6][c:7]([H:16])[n:8]1[H:17])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10]>>[H:16].[N:1]([C:2]([C:3]([c:4]1[c:5]([H:15])[n:6][c:7][n:8]1[H:17])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10]	114.9194882	103
[O:1]=[C:2]1[C:3]([H:11])=[C:4]([C:5]([O:6][H:14])([H:12])[H:13])[O:7][C:8]([H:15])=[C:9]1[O:10][H:16]>>[H:15].[O:1]=[C:2]1[C:3]([H:11])=[C:4]([C:5]([O:6][H:14])([H:12])[H:13])[O:7][C:8]=[C:9]1[O:10][H:16]	114.4588966	35
[N:1]([C:2]([C:3]([C:4]([C:5](=[O:6])[O:7][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:8])[H:9]>>[H:12].[N:1]([C:2]([C:3]([C:4]([C:5](=[O:6])[O:7][H:16])([H:14])[H:15])[H:13])([H:10])[H:11])([H:8])[H:9]	96.53974961	7
[C:1]([O:2][H:6])([H:3])([H:4])[H:5]>>[H:6].[C:1]([O:2])([H:3])([H:4])[H:5]	101.9225218	46
[N:1]([C:2]([C:3]([C:4]([C:5](=[O:6])[O:7][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:8])[H:9]>>[H:14].[N:1]([C:2]([C:3]([C:4]([C:5](=[O:6])[O:7][H:16])[H:15])([H:12])[H:13])([H:10])[H:11])([H:8])[H:9]	92.97298846	8
[C:1]([N:2]=[C:3]([N:4]([H:9])[H:10])[N:5]([H:11])[H:12])([H:6])([H:7])[H:8]>>[C:1]([N:2]=[C:3][N:5]([H:11])[H:12])([H:6])([H:7])[H:8].[N:4]([H:9])[H:10]	98.10914962	58
[C:1]([C:2]([N:3]([C:4](=[O:5])[O:6][H:13])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[H:12].[C:1]([C:2]([N:3][C:4](=[O:5])[O:6][H:13])([H:10])[H:11])([H:7])([H:8])[H:9]	109.5982119	78
[C:1]([C@:2]1([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]([H:16])([H:17])[C:6]([H:18])([H:19])[O:7]1)([H:8])([H:9])[H:10]>>[H:16].[C:1]([C@:2]1([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]([H:17])[C:6]([H:18])([H:19])[O:7]1)([H:8])([H:9])[H:10]	98.79313443	65
[O:1]=[C:2]1[C:3]([H:11])=[C:4]([C:5]([O:6][H:14])([H:12])[H:13])[O:7][C:8]([H:15])=[C:9]1[O:10][H:16]>>[O:1]=[C:2]1[C:3]([H:11])=[C:4]([C:5]([H:12])[H:13])[O:7][C:8]([H:15])=[C:9]1[O:10][H:16].[O:6][H:14]	83.26416921	30
[N:1]([C:2]([C:3]([c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([H:19])[c:9]1[H:20])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11]>>[H:17].[N:1]([C:2]([C:3]([c:4]1[c:5]([H:16])[c:6][c:7]([H:18])[c:8]([H:19])[c:9]1[H:20])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11]	110.8701726	119
[O:1]=[C:2]([C@:3]([O:4][H:13])([C@:5]([O:6][H:15])([C@:7]([O:8][H:17])([C:9]([O:10][H:20])([H:18])[H:19])[H:16])[H:14])[H:12])[H:11]>>[H:17].[O:1]=[C:2]([C@:3]([O:4][H:13])([C@:5]([O:6][H:15])([C@:7]([O:8])([C:9]([O:10][H:20])([H:18])[H:19])[H:16])[H:14])[H:12])[H:11]	109.502203	41
[N:1]([N:2]([C:3]([C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])([H:16])[H:17])([H:14])[H:15])[H:13])([H:11])[H:12]>>[H:14].[N:1]([N:2]([C:3]([C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])([H:16])[H:17])[H:15])[H:13])([H:11])[H:12]	89.60640267	86
[N:1]([C:2]([C:3]([c:4]1[c:5]([H:15])[n:6][c:7]([H:16])[n:8]1[H:17])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10]>>[C:2]([C:3]([c:4]1[c:5]([H:15])[n:6][c:7]([H:16])[n:8]1[H:17])([H:13])[H:14])([H:11])[H:12].[N:1]([H:9])[H:10]	90.37384618	96
[C:1]([C@:2]([N:3]([H:15])[H:16])([C:4]([c:5]1[c:6]([H:19])[c:7]([H:20])[c:8]([H:21])[c:9]([H:22])[c:10]1[H:23])([H:17])[H:18])[H:14])([H:11])([H:12])[H:13]>>[H:15].[C:1]([C@:2]([N:3][H:16])([C:4]([c:5]1[c:6]([H:19])[c:7]([H:20])[c:8]([H:21])[c:9]([H:22])[c:10]1[H:23])([H:17])[H:18])[H:14])([H:11])([H:12])[H:13]	99.42064343	107
[C:1]([C:2]([H:6])([H:7])[H:8])([H:3])([H:4])[H:5]>>[C:1]([H:3])([H:4])[H:5].[C:2]([H:6])([H:7])[H:8]	90.66563787	60
[C:1]([C@:2]([O:3][H:11])([C:4](=[O:5])[O:6][H:12])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C@:2]([O:3][H:11])([C:4]=[O:5])[H:10])([H:7])([H:8])[H:9].[O:6][H:12]	112.5518968	26
[O:1]=[C:2]1[C:3]([H:11])=[C:4]([C:5]([O:6][H:14])([H:12])[H:13])[O:7][C:8]([H:15])=[C:9]1[O:10][H:16]>>[H:16].[O:1]=[C:2]1[C:3]([H:11])=[C:4]([C:5]([O:6][H:14])([H:12])[H:13])[O:7][C:8]([H:15])=[C:9]1[O:10]	93.13802333	36
[C:1]([C@:2]([N:3]([H:15])[H:16])([C:4]([C:5]1=[C:6]([H:19])[C:7]([H:20])([H:21])[C:8]([H:22])([H:23])[C:9]([H:24])=[C:10]1[H:25])([H:17])[H:18])[H:14])([H:11])([H:12])[H:13]>>[H:22].[C:1]([C@:2]([N:3]([H:15])[H:16])([C:4]([C:5]1=[C:6]([H:19])[C:7]([H:20])([H:21])[C:8]([H:23])[C:9]([H:24])=[C:10]1[H:25])([H:17])[H:18])[H:14])([H:11])([H:12])[H:13]	75.31614022	127
[C:1]([C@:2]([O:3][H:11])([C:4](=[O:5])[O:6][H:12])[H:10])([H:7])([H:8])[H:9]>>[H:11].[C:1]([C@:2]([O:3])([C:4](=[O:5])[O:6][H:12])[H:10])([H:7])([H:8])[H:9]	107.3511022	28
[O:1]=[C:2]([C@:3]([O:4][H:13])([C@:5]([O:6][H:15])([C@:7]([O:8][H:17])([C:9]([O:10][H:20])([H:18])[H:19])[H:16])[H:14])[H:12])[H:11]>>[H:20].[O:1]=[C:2]([C@:3]([O:4][H:13])([C@:5]([O:6][H:15])([C@:7]([O:8][H:17])([C:9]([O:10])([H:18])[H:19])[H:16])[H:14])[H:12])[H:11]	109.2179414	43
[N:1]([C:2]([C:3]([C:4]([C:5](=[O:6])[O:7][H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:8])[H:9]>>[C:4]([C:5](=[O:6])[O:7][H:16])([H:14])[H:15].[N:1]([C:2]([C:3]([H:12])[H:13])([H:10])[H:11])([H:8])[H:9]	86.31386295	2
[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]([H:12])([H:13])[H:14])[O:5][H:15])([H:6])([H:7])[H:8]>>[H:6].[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]([H:12])([H:13])[H:14])[O:5][H:15])([H:7])[H:8]	100.991926	23
[C:1]([C:2]([O:3][c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([O:9][H:19])[c:10]1[H:20])([H:14])[H:15])([H:11])([H:12])[H:13]>>[H:20].[C:1]([C:2]([O:3][c:4]1[c:5]([H:16])[c:6]([H:17])[c:7]([H:18])[c:8]([O:9][H:19])[c:10]1)([H:14])[H:15])([H:11])([H:12])[H:13]	114.3233547	20
[N:1]([c:2]1[c:3]([H:11])[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]1[O:8][H:15])([H:9])[H:10]>>[H:11].[N:1]([c:2]1[c:3][c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]1[O:8][H:15])([H:9])[H:10]	111.2711509	71
[C:1]([C:2]([N:3]([C:4](=[O:5])[O:6][H:13])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([N:3]([C:4]=[O:5])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9].[O:6][H:13]	111.9921587	77
[N:1]([C:2]([C:3]([c:4]1[c:5]([H:15])[n:6][c:7]([H:16])[n:8]1[H:17])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10]>>[H:9].[N:1]([C:2]([C:3]([c:4]1[c:5]([H:15])[n:6][c:7]([H:16])[n:8]1[H:17])([H:13])[H:14])([H:11])[H:12])[H:10]	98.96758193	99
[N:1]([N:2]([C:3]([C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])([H:16])[H:17])([H:14])[H:15])[H:13])([H:11])[H:12]>>[N:1]([N:2]([C:3]([H:14])[H:15])[H:13])([H:11])[H:12].[C:4]([c:5]1[c:6]([H:18])[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]1[H:22])([H:16])[H:17]	70.59036994	82
[C:1]([C:2]([N:3]([C:4](=[O:5])[O:6][H:13])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]>>[H:13].[C:1]([C:2]([N:3]([C:4]([O:5])=[O:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]	112.1597036	79
[N:1]([c:2]1[c:3]([H:11])[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]1[O:8][H:15])([H:9])[H:10]>>[c:2]1[c:3]([H:11])[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]1[O:8][H:15].[N:1]([H:9])[H:10]	106.0803965	68
[C:1]([C@:2]([N:3]([H:15])[H:16])([C:4]([c:5]1[c:6]([H:19])[c:7]([H:20])[c:8]([H:21])[c:9]([H:22])[c:10]1[H:23])([H:17])[H:18])[H:14])([H:11])([H:12])[H:13]>>[H:21].[C:1]([C@:2]([N:3]([H:15])[H:16])([C:4]([c:5]1[c:6]([H:19])[c:7]([H:20])[c:8][c:9]([H:22])[c:10]1[H:23])([H:17])[H:18])[H:14])([H:11])([H:12])[H:13]	111.2636208	111
